"feelsLike","rain","humidity","temperature","time2","date"
"7","15","95","9.1","2023-04-18","00:00"
"7","14","94","9.2","2023-04-18","01:00"
"6.7","13","91","9.2","2023-04-18","02:00"
"6.5","13","93","9","2023-04-18","03:00"
"6","13","93","8.8","2023-04-18","04:00"
"6.2","13","94","8.8","2023-04-18","05:00"
"5.8","9","94","8.4","2023-04-18","06:00"
"5.6","4","91","8.4","2023-04-18","07:00"
"6.3","0","89","8.9","2023-04-18","08:00"
"6.8","0","84","9.5","2023-04-18","09:00"
"8.1","0","77","10.8","2023-04-18","10:00"
"9.6","0","66","12.5","2023-04-18","11:00"
"11.2","0","59","13.8","2023-04-18","12:00"
"12.1","0","52","14.8","2023-04-18","13:00"
"12.1","0","43","15.3","2023-04-18","14:00"
"11.7","0","48","15.2","2023-04-18","15:00"
"11.2","0","53","14.5","2023-04-18","16:00"
"10.9","0","49","14.4","2023-04-18","17:00"
"10.6","0","52","13.8","2023-04-18","18:00"
"10.4","0","55","12.9","2023-04-18","19:00"
"9.6","0","65","11.9","2023-04-18","20:00"
"9.2","0","70","11.3","2023-04-18","21:00"
"8.5","0","77","10.5","2023-04-18","22:00"
"8.2","0","82","9.9","2023-04-18","23:00"
"7.9","5","82","9.5","2023-04-19","00:00"
"7.7","11","84","9","2023-04-19","01:00"
"6.8","16","86","8.4","2023-04-19","02:00"
"6.7","38","91","8","2023-04-19","03:00"
"6.4","59","94","7.7","2023-04-19","04:00"
"6.5","81","96","7.7","2023-04-19","05:00"
"6.6","79","96","7.7","2023-04-19","06:00"
"6.9","76","96","8","2023-04-19","07:00"
"6.9","74","94","8.3","2023-04-19","08:00"
"7.4","77","92","8.7","2023-04-19","09:00"
"8.1","81","82","9.8","2023-04-19","10:00"
"8.4","84","78","10.3","2023-04-19","11:00"
"9","78","72","10.9","2023-04-19","12:00"
"10.2","71","66","11.9","2023-04-19","13:00"
"10.9","65","63","12.5","2023-04-19","14:00"
"11.6","67","60","13.2","2023-04-19","15:00"
"11.4","69","56","13.5","2023-04-19","16:00"
"11","71","56","13.3","2023-04-19","17:00"
"9.6","58","62","12.5","2023-04-19","18:00"
"9.7","45","77","11.3","2023-04-19","19:00"
"8.9","32","84","10.2","2023-04-19","20:00"
"8.1","23","88","9.4","2023-04-19","21:00"
"6.9","15","91","8.4","2023-04-19","22:00"
"5.9","6","92","7.6","2023-04-19","23:00"
"5.7","4","93","7.2","2023-04-20","00:00"
"5","2","95","6.5","2023-04-20","01:00"
"4.3","0","98","5.8","2023-04-20","02:00"
"3.8","0","98","5.4","2023-04-20","03:00"
"3.5","0","97","5","2023-04-20","04:00"
"3","0","98","4.7","2023-04-20","05:00"
"2.6","0","99","4.3","2023-04-20","06:00"
"2.4","0","100","4.2","2023-04-20","07:00"
"4.3","0","98","5.7","2023-04-20","08:00"
"6.1","3","90","7.5","2023-04-20","09:00"
"7.3","7","86","8.8","2023-04-20","10:00"
"9.6","10","77","11","2023-04-20","11:00"
"11.2","18","77","12.3","2023-04-20","12:00"
"12","27","68","13.6","2023-04-20","13:00"
"12.7","35","64","14.3","2023-04-20","14:00"
"13.4","36","58","15.1","2023-04-20","15:00"
"13.1","38","57","14.9","2023-04-20","16:00"
"14.5","39","60","15.4","2023-04-20","17:00"
"13.5","31","60","15.1","2023-04-20","18:00"
"12.2","24","67","13.6","2023-04-20","19:00"
