"feelsLike","rain","humidity","temperature","time","datetime"
"7.7","0","93.5","9.9","00:00:00","2023-04-18"
"6.7","0","93.45","8.9","01:00:00","2023-04-18"
"6.2","0","100","8.9","02:00:00","2023-04-18"
"6.7","100","93.45","8.9","03:00:00","2023-04-18"
"6.0","100","100","7.9","04:00:00","2023-04-18"
"5.2","100","93.4","7.9","05:00:00","2023-04-18"
"5.7","0","93.4","7.9","06:00:00","2023-04-18"
"5.7","0","93.4","7.9","07:00:00","2023-04-18"
"6.4","0","87.28","8.9","08:00:00","2023-04-18"
"7.7","0","81.61","9.9","09:00:00","2023-04-18"
"10.9","0","71.27","10.9","10:00:00","2023-04-18"
"11.9","0","66.71","11.9","11:00:00","2023-04-18"
"13.9","0","47.46","13.9","12:00:00","2023-04-18"
"13.9","0","54.61","13.9","13:00:00","2023-04-18"
"13.9","0","50.92","13.9","14:00:00","2023-04-18"
"15.9","0","36.17","15.9","15:00:00","2023-04-18"
"14.9","0","41.43","14.9","16:00:00","2023-04-18"
"14.9","0","41.43","14.9","17:00:00","2023-04-18"
"14.9","0","47.74","14.9","18:00:00","2023-04-18"
"13.9","0","50.92","13.9","19:00:00","2023-04-18"
"12.9","0","54.35","12.9","20:00:00","2023-04-18"
"11.9","0","62.24","11.9","21:00:00","2023-04-18"
"8.4","0","85.58","9.7","22:00:00","2023-04-18"
"8.1","0","87.88","8.9","23:00:00","2023-04-18"
"8.4","0","91.53","8.4","00:00:00","2023-04-19"
"7.2","0","92.15","8.2","01:00:00","2023-04-19"
"7.1","0","94.69","7.9","02:00:00","2023-04-19"
"7.0","61.9","94.02","7.6","03:00:00","2023-04-19"
"6.6","61.9","91.46","7.3","04:00:00","2023-04-19"
"7.1","61.9","91.44","7.1","05:00:00","2023-04-19"
"7.1","61.9","95.31","7.1","06:00:00","2023-04-19"
"7.7","61.9","95.98","7.7","07:00:00","2023-04-19"
"8.2","61.9","94.7","8.2","08:00:00","2023-04-19"
"8.7","85.7","91.55","8.7","09:00:00","2023-04-19"
"9.7","85.7","86.76","9.7","10:00:00","2023-04-19"
"10.4","85.7","77.86","10.4","11:00:00","2023-04-19"
"11.1","85.7","72.78","11.1","12:00:00","2023-04-19"
"11.9","85.7","67.17","11.9","13:00:00","2023-04-19"
"12.4","85.7","65","12.4","14:00:00","2023-04-19"
"12.3","52.4","63.64","12.3","15:00:00","2023-04-19"
"12.7","52.4","65.95","12.7","16:00:00","2023-04-19"
"12.4","52.4","63.67","12.4","17:00:00","2023-04-19"
"11.4","52.4","72.85","11.4","18:00:00","2023-04-19"
"10.9","52.4","77.4","10.9","19:00:00","2023-04-19"
"10.2","52.4","81.1","10.2","20:00:00","2023-04-19"
"9.7","0","84.42","9.7","21:00:00","2023-04-19"
"9.2","0","87.31","9.2","22:00:00","2023-04-19"
"8.7","0","89.69","8.7","23:00:00","2023-04-19"
"8.2","0","91.52","8.2","00:00:00","2023-04-20"
"7.7","0","91.48","7.7","01:00:00","2023-04-20"
"7.3","0","91.46","7.3","02:00:00","2023-04-20"
"7.1","4.8","91.44","7.1","03:00:00","2023-04-20"
"6.4","4.8","93.32","6.4","04:00:00","2023-04-20"
"6.1","4.8","95.27","6.1","05:00:00","2023-04-20"
"6.2","4.8","96.61","6.2","06:00:00","2023-04-20"
"6.7","4.8","97.28","6.7","07:00:00","2023-04-20"
"7.4","4.8","95.32","7.4","08:00:00","2023-04-20"
"8.1","9.5","90.31","8.8","09:00:00","2023-04-20"
"11.1","9.5","82.87","11.1","10:00:00","2023-04-20"
"12.3","9.5","76.04","12.3","11:00:00","2023-04-20"
"13.4","9.5","71.26","13.4","12:00:00","2023-04-20"
"14.3","9.5","61.1","14.3","13:00:00","2023-04-20"
"15.2","9.5","52.35","15.2","14:00:00","2023-04-20"
"15.4","9.5","49.23","15.4","15:00:00","2023-04-20"
"15.2","9.5","50.54","15.2","16:00:00","2023-04-20"
"15.2","9.5","52.69","15.2","17:00:00","2023-04-20"
"14.3","9.5","59.86","14.3","18:00:00","2023-04-20"
"13.1","9.5","63.8","13.1","19:00:00","2023-04-20"
"11.2","9.5","70.35","11.2","20:00:00","2023-04-20"
"10.2","0","72.13","10.2","21:00:00","2023-04-20"
"9.3","0","71.96","9.3","22:00:00","2023-04-20"
"8.9","0","73.41","8.9","23:00:00","2023-04-20"
"8.2","0","77.5","8.2","00:00:00","2023-04-21"
"7.4","0","81.85","7.4","01:00:00","2023-04-21"
"6.9","0","84.11","6.9","02:00:00","2023-04-21"
"6.7","0","85.26","6.7","03:00:00","2023-04-21"
"6.2","0","87.02","6.2","04:00:00","2023-04-21"
"5.7","0","88.82","5.7","05:00:00","2023-04-21"
"5.1","0","91.31","5.1","06:00:00","2023-04-21"
"5.7","0","90.08","5.7","07:00:00","2023-04-21"
"7.9","0","84.22","7.9","08:00:00","2023-04-21"
"9.6","9.5","79.39","9.8","09:00:00","2023-04-21"
"11.6","9.5","76.45","11.6","10:00:00","2023-04-21"
"13.2","9.5","71.2","13.2","11:00:00","2023-04-21"
"14.4","9.5","65.44","14.4","12:00:00","2023-04-21"
"15.2","9.5","59.64","15.2","13:00:00","2023-04-21"
"15.7","9.5","53.96","15.7","14:00:00","2023-04-21"
"15.7","0","53.31","15.7","15:00:00","2023-04-21"
"15.6","0","52.68","15.6","16:00:00","2023-04-21"
"15.4","0","52.05","15.4","17:00:00","2023-04-21"
"14.2","0","56.35","14.2","18:00:00","2023-04-21"
"13.0","0","61.06","13.0","19:00:00","2023-04-21"
"11.7","0","66.21","11.7","20:00:00","2023-04-21"
"10.8","0","68.99","10.8","21:00:00","2023-04-21"
"9.9","0","71.91","9.9","22:00:00","2023-04-21"
"9.1","0","74.98","9.1","23:00:00","2023-04-21"
"8.2","0","76.96","8.2","00:00:00","2023-04-22"
"7.2","0","79","7.2","01:00:00","2023-04-22"
"6.3","0","81.13","6.3","02:00:00","2023-04-22"
"5.7","0","83.97","5.7","03:00:00","2023-04-22"
"5.2","0","86.92","5.2","04:00:00","2023-04-22"
"3.6","0","89.99","4.6","05:00:00","2023-04-22"
"6.1","0","87.83","6.1","06:00:00","2023-04-22"
"7.6","0","85.76","7.6","07:00:00","2023-04-22"
"9.2","0","83.78","9.2","08:00:00","2023-04-22"
"11.3","0","72.33","11.3","09:00:00","2023-04-22"
"13.5","0","62.6","13.5","10:00:00","2023-04-22"
"15.7","0","54.3","15.7","11:00:00","2023-04-22"
"16.2","0","51.41","16.2","12:00:00","2023-04-22"
"16.7","0","48.68","16.7","13:00:00","2023-04-22"
"17.3","0","46.09","17.3","14:00:00","2023-04-22"
"17.4","0","45.7","17.4","15:00:00","2023-04-22"
"17.5","0","45.32","17.5","16:00:00","2023-04-22"
"17.7","0","44.94","17.7","17:00:00","2023-04-22"
"16.3","0","48.77","16.3","18:00:00","2023-04-22"
"14.8","0","52.98","14.8","19:00:00","2023-04-22"
"13.4","0","57.61","13.4","20:00:00","2023-04-22"
"12.9","0","58.68","12.9","21:00:00","2023-04-22"
