"feelsLike","rain","humidity","temperature","time","date"
"4.5","0","95","7.6","2023-04-18 00:00","2023-04-18"
"4","82","96","7.1","2023-04-18 01:00","2023-04-18"
"4.1","87","97","7","2023-04-18 02:00","2023-04-18"
"4","0","96","6.9","2023-04-18 03:00","2023-04-18"
"3.9","60","96","6.6","2023-04-18 04:00","2023-04-18"
"3.9","0","95","6.4","2023-04-18 05:00","2023-04-18"
"4.2","0","93","6.7","2023-04-18 06:00","2023-04-18"
"5.1","71","84","7.9","2023-04-18 07:00","2023-04-18"
"6.5","0","73","9.2","2023-04-18 08:00","2023-04-18"
"8.2","0","67","10.5","2023-04-18 09:00","2023-04-18"
"9.4","0","63","11.4","2023-04-18 10:00","2023-04-18"
"11.5","0","57","13.2","2023-04-18 11:00","2023-04-18"
"12.8","0","52","14.3","2023-04-18 12:00","2023-04-18"
"13.3","0","50","14.7","2023-04-18 13:00","2023-04-18"
"13.7","0","49","15","2023-04-18 14:00","2023-04-18"
"13.8","0","54","15","2023-04-18 15:00","2023-04-18"
"12.9","0","59","14.3","2023-04-18 16:00","2023-04-18"
"11.4","0","64","13","2023-04-18 17:00","2023-04-18"
"10","0","70","11.7","2023-04-18 18:00","2023-04-18"
"7.9","0","74","9.8","2023-04-18 19:00","2023-04-18"
"7.1","0","76","8.9","2023-04-18 20:00","2023-04-18"
"6.6","0","78","8.4","2023-04-18 21:00","2023-04-18"
"6.4","0","82","8","2023-04-18 22:00","2023-04-18"
"7.2","0","85","8.5","2023-04-18 23:00","2023-04-18"
"7.4","0","87","8.7","2023-04-19 00:00","2023-04-19"
"7","71","88","8.6","2023-04-19 01:00","2023-04-19"
"6.3","78","88","8.4","2023-04-19 02:00","2023-04-19"
"5.1","69","92","7.8","2023-04-19 03:00","2023-04-19"
"4.8","64","96","7.5","2023-04-19 04:00","2023-04-19"
"4.7","80","96","7.3","2023-04-19 05:00","2023-04-19"
"4.5","70","95","7.1","2023-04-19 06:00","2023-04-19"
"4.7","79","94","7","2023-04-19 07:00","2023-04-19"
"5.2","77","94","7.1","2023-04-19 08:00","2023-04-19"
"5.4","78","93","7.3","2023-04-19 09:00","2023-04-19"
"5.4","63","91","7.3","2023-04-19 10:00","2023-04-19"
"5.7","62","91","7.4","2023-04-19 11:00","2023-04-19"
"6","62","91","7.4","2023-04-19 12:00","2023-04-19"
"6.1","63","91","7.5","2023-04-19 13:00","2023-04-19"
"6.3","0","91","7.6","2023-04-19 14:00","2023-04-19"
"7.4","0","89","8.3","2023-04-19 15:00","2023-04-19"
"8.3","0","86","8.9","2023-04-19 16:00","2023-04-19"
"8.5","0","87","9.1","2023-04-19 17:00","2023-04-19"
"7.8","0","91","8.6","2023-04-19 18:00","2023-04-19"
"6.1","0","94","7.5","2023-04-19 19:00","2023-04-19"
"5.3","62","95","7","2023-04-19 20:00","2023-04-19"
"5.4","0","94","6.7","2023-04-19 21:00","2023-04-19"
"6","68","94","6.5","2023-04-19 22:00","2023-04-19"
"6.7","0","94","6.7","2023-04-19 23:00","2023-04-19"
"6.4","0","94","6.4","2023-04-20 00:00","2023-04-20"
"6.5","0","94","6.5","2023-04-20 01:00","2023-04-20"
"6.5","0","94","6.5","2023-04-20 02:00","2023-04-20"
"5.5","0","95","6.4","2023-04-20 03:00","2023-04-20"
"5.3","0","95","6.4","2023-04-20 04:00","2023-04-20"
"5.4","0","95","6.5","2023-04-20 05:00","2023-04-20"
"6.5","0","94","7","2023-04-20 06:00","2023-04-20"
"6.8","0","92","7.5","2023-04-20 07:00","2023-04-20"
"7.5","0","88","8.6","2023-04-20 08:00","2023-04-20"
"7.7","0","86","9.1","2023-04-20 09:00","2023-04-20"
"8.4","0","85","9.6","2023-04-20 10:00","2023-04-20"
"9.7","0","81","10.7","2023-04-20 11:00","2023-04-20"
"11.5","0","70","12.6","2023-04-20 12:00","2023-04-20"
