"feelsLike","rain","humidity","temperature","time2","date"
"5.5","11","95","6.9","4/20/2023, 12:00:00 AM","00:00"
"5.1","5","97","6.5","4/20/2023, 1:00:00 AM","01:00"
"5.1","0","97","6.5","4/20/2023, 2:00:00 AM","02:00"
"5","0","98","6.4","4/20/2023, 3:00:00 AM","03:00"
"4.9","0","98","6.3","4/20/2023, 4:00:00 AM","04:00"
"4.5","0","98","6.1","4/20/2023, 5:00:00 AM","05:00"
"4.4","0","98","5.9","4/20/2023, 6:00:00 AM","06:00"
"5.2","0","97","6.5","4/20/2023, 7:00:00 AM","07:00"
"6.1","0","93","7.6","4/20/2023, 8:00:00 AM","08:00"
"7.2","2","88","8.6","4/20/2023, 9:00:00 AM","09:00"
"8.8","4","82","10.1","4/20/2023, 10:00:00 AM","10:00"
"9.9","6","75","11.7","4/20/2023, 11:00:00 AM","11:00"
"11.3","28","72","12.9","4/20/2023, 12:00:00 PM","12:00"
"12.3","49","65","14.3","4/20/2023, 1:00:00 PM","13:00"
"13.6","71","54","15.9","4/20/2023, 2:00:00 PM","14:00"
"13.2","76","50","16","4/20/2023, 3:00:00 PM","15:00"
"13","82","38","16.7","4/20/2023, 4:00:00 PM","16:00"
"12.1","87","38","16.2","4/20/2023, 5:00:00 PM","17:00"
"12.2","58","46","15.2","4/20/2023, 6:00:00 PM","18:00"
"11.8","29","56","13.7","4/20/2023, 7:00:00 PM","19:00"
"10.5","0","60","12.4","4/20/2023, 8:00:00 PM","20:00"
"9.6","0","63","11.3","4/20/2023, 9:00:00 PM","21:00"
"8.8","0","63","10.7","4/20/2023, 10:00:00 PM","22:00"
"8","0","63","10","4/20/2023, 11:00:00 PM","23:00"
"7.5","0","66","9.5","4/21/2023, 12:00:00 AM","00:00"
"6.5","0","70","8.6","4/21/2023, 1:00:00 AM","01:00"
"6.2","0","74","8.1","4/21/2023, 2:00:00 AM","02:00"
"6.2","0","74","7.9","4/21/2023, 3:00:00 AM","03:00"
"5.2","0","76","7","4/21/2023, 4:00:00 AM","04:00"
"4.6","0","77","6.5","4/21/2023, 5:00:00 AM","05:00"
"4.6","0","77","6.4","4/21/2023, 6:00:00 AM","06:00"
"5.2","0","77","6.9","4/21/2023, 7:00:00 AM","07:00"
"6.7","0","75","8.5","4/21/2023, 8:00:00 AM","08:00"
"8.1","0","67","10.2","4/21/2023, 9:00:00 AM","09:00"
"9.8","0","62","12","4/21/2023, 10:00:00 AM","10:00"
"12.2","0","56","13.8","4/21/2023, 11:00:00 AM","11:00"
"13.8","1","51","15.3","4/21/2023, 12:00:00 PM","12:00"
"13.4","2","39","16.1","4/21/2023, 1:00:00 PM","13:00"
"13.4","3","35","16.3","4/21/2023, 2:00:00 PM","14:00"
"13","2","32","16.4","4/21/2023, 3:00:00 PM","15:00"
"12.5","1","37","16.1","4/21/2023, 4:00:00 PM","16:00"
"12","0","38","15.7","4/21/2023, 5:00:00 PM","17:00"
"11.7","0","39","15.1","4/21/2023, 6:00:00 PM","18:00"
"11","0","47","13.6","4/21/2023, 7:00:00 PM","19:00"
"9.7","0","55","11.8","4/21/2023, 8:00:00 PM","20:00"
"9","0","56","11","4/21/2023, 9:00:00 PM","21:00"
"8.3","0","57","10.4","4/21/2023, 10:00:00 PM","22:00"
"7.8","0","59","9.8","4/21/2023, 11:00:00 PM","23:00"
"7.3","0","61","9.2","4/22/2023, 12:00:00 AM","00:00"
"6.9","0","63","8.7","4/22/2023, 1:00:00 AM","01:00"
"6.1","0","64","8.1","4/22/2023, 2:00:00 AM","02:00"
"4.9","0","65","7.2","4/22/2023, 3:00:00 AM","03:00"
"3.3","0","73","5.7","4/22/2023, 4:00:00 AM","04:00"
"2.7","0","78","5.1","4/22/2023, 5:00:00 AM","05:00"
"2.4","0","80","4.8","4/22/2023, 6:00:00 AM","06:00"
"3.1","0","81","5.4","4/22/2023, 7:00:00 AM","07:00"
"6.6","0","79","8.2","4/22/2023, 8:00:00 AM","08:00"
"9.3","0","64","10.9","4/22/2023, 9:00:00 AM","09:00"
"11.6","0","56","13","4/22/2023, 10:00:00 AM","10:00"
"14","0","50","14.7","4/22/2023, 11:00:00 AM","11:00"
"15.3","1","41","15.9","4/22/2023, 12:00:00 PM","12:00"
"15.7","2","38","16.5","4/22/2023, 1:00:00 PM","13:00"
"15.8","3","38","16.9","4/22/2023, 2:00:00 PM","14:00"
"15.4","2","37","17","4/22/2023, 3:00:00 PM","15:00"
"15","1","38","17","4/22/2023, 4:00:00 PM","16:00"
"14.5","0","39","16.7","4/22/2023, 5:00:00 PM","17:00"
"13.6","0","40","16.1","4/22/2023, 6:00:00 PM","18:00"
"12.5","0","52","14.4","4/22/2023, 7:00:00 PM","19:00"
"10.2","0","57","12.3","4/22/2023, 8:00:00 PM","20:00"
"8.8","0","63","10.9","4/22/2023, 9:00:00 PM","21:00"
"7.9","0","68","10","4/22/2023, 10:00:00 PM","22:00"
"7.1","0","71","9.3","4/22/2023, 11:00:00 PM","23:00"
"6.2","0","72","8.6","4/23/2023, 12:00:00 AM","00:00"
"5.9","0","71","8.4","4/23/2023, 1:00:00 AM","01:00"
"5.6","0","69","8.3","4/23/2023, 2:00:00 AM","02:00"
"5.3","0","69","8","4/23/2023, 3:00:00 AM","03:00"
"4.8","0","72","7.4","4/23/2023, 4:00:00 AM","04:00"
"4.2","0","74","6.8","4/23/2023, 5:00:00 AM","05:00"
"3.8","0","77","6.4","4/23/2023, 6:00:00 AM","06:00"
"5.2","0","77","7.5","4/23/2023, 7:00:00 AM","07:00"
"9.2","0","72","10.8","4/23/2023, 8:00:00 AM","08:00"
"11.7","0","56","13.7","4/23/2023, 9:00:00 AM","09:00"
"14.1","0","52","15.9","4/23/2023, 10:00:00 AM","10:00"
"16.8","0","49","17.6","4/23/2023, 11:00:00 AM","11:00"
"18.1","0","42","18.7","4/23/2023, 12:00:00 PM","12:00"
"17.7","0","37","19.4","4/23/2023, 1:00:00 PM","13:00"
"17.8","0","36","19.7","4/23/2023, 2:00:00 PM","14:00"
"17.8","0","36","20.1","4/23/2023, 3:00:00 PM","15:00"
"17.1","0","35","19.9","4/23/2023, 4:00:00 PM","16:00"
"16.5","0","36","19.5","4/23/2023, 5:00:00 PM","17:00"
"15.2","0","41","18.3","4/23/2023, 6:00:00 PM","18:00"
"13.3","0","44","16.6","4/23/2023, 7:00:00 PM","19:00"
"12.1","0","45","15.2","4/23/2023, 8:00:00 PM","20:00"
"11.4","0","47","14.5","4/23/2023, 9:00:00 PM","21:00"
"10.9","0","48","13.9","4/23/2023, 10:00:00 PM","22:00"
"10.4","0","49","13.3","4/23/2023, 11:00:00 PM","23:00"
"10","0","50","12.9","4/24/2023, 12:00:00 AM","00:00"
"9.6","0","50","12.5","4/24/2023, 1:00:00 AM","01:00"
"9","0","51","12","4/24/2023, 2:00:00 AM","02:00"
"8.4","0","52","11.4","4/24/2023, 3:00:00 AM","03:00"
"7.6","0","52","10.7","4/24/2023, 4:00:00 AM","04:00"
"7.2","0","53","10.3","4/24/2023, 5:00:00 AM","05:00"
"7.4","0","54","10.6","4/24/2023, 6:00:00 AM","06:00"
"8.2","0","56","11.3","4/24/2023, 7:00:00 AM","07:00"
"9.5","0","57","12.6","4/24/2023, 8:00:00 AM","08:00"
"10.6","5","55","14","4/24/2023, 9:00:00 AM","09:00"
"12.1","11","52","15.8","4/24/2023, 10:00:00 AM","10:00"
"13.9","16","48","17.4","4/24/2023, 11:00:00 AM","11:00"
"14.2","22","46","17.8","4/24/2023, 12:00:00 PM","12:00"
"13.7","29","43","17.6","4/24/2023, 1:00:00 PM","13:00"
"12.5","35","44","17","4/24/2023, 2:00:00 PM","14:00"
"12","42","49","16.2","4/24/2023, 3:00:00 PM","15:00"
"11.3","48","58","15.1","4/24/2023, 4:00:00 PM","16:00"
"10.6","55","68","13.7","4/24/2023, 5:00:00 PM","17:00"
"10.2","51","73","13","4/24/2023, 6:00:00 PM","18:00"
"9.7","46","77","12.3","4/24/2023, 7:00:00 PM","19:00"
"9.4","42","81","11.6","4/24/2023, 8:00:00 PM","20:00"
"9.3","43","83","11.2","4/24/2023, 9:00:00 PM","21:00"
"9.3","44","85","10.9","4/24/2023, 10:00:00 PM","22:00"
"9.4","45","87","10.6","4/24/2023, 11:00:00 PM","23:00"
"9.5","45","89","10.5","4/25/2023, 12:00:00 AM","00:00"
"9.4","45","91","10.4","4/25/2023, 1:00:00 AM","01:00"
"9.1","45","93","10.3","4/25/2023, 2:00:00 AM","02:00"
"9","48","94","10.2","4/25/2023, 3:00:00 AM","03:00"
"8.9","52","95","10.1","4/25/2023, 4:00:00 AM","04:00"
"8.9","55","95","10.1","4/25/2023, 5:00:00 AM","05:00"
"8.7","54","94","10.2","4/25/2023, 6:00:00 AM","06:00"
"8.6","53","92","10.3","4/25/2023, 7:00:00 AM","07:00"
"8.8","52","88","10.8","4/25/2023, 8:00:00 AM","08:00"
"9.6","55","84","11.6","4/25/2023, 9:00:00 AM","09:00"
