"feelsLike","rain","humidity","temperature","time","date","datetimeWithTime"
"8","0","78","8","2023-04-21 00:00","2023-04-21","4/21/2023 12:00 AM"
"7.6","0","79","7.6","2023-04-21 01:00","2023-04-21","4/21/2023 1:00 AM"
"7.1","0","81","7.1","2023-04-21 02:00","2023-04-21","4/21/2023 2:00 AM"
"6.5","0","84","6.6","2023-04-21 03:00","2023-04-21","4/21/2023 3:00 AM"
"5.7","0","84","6.3","2023-04-21 04:00","2023-04-21","4/21/2023 4:00 AM"
"5.6","0","86","6.2","2023-04-21 05:00","2023-04-21","4/21/2023 5:00 AM"
"7.2","0","83","7.8","2023-04-21 06:00","2023-04-21","4/21/2023 6:00 AM"
"8.5","0","78","9.6","2023-04-21 07:00","2023-04-21","4/21/2023 7:00 AM"
"10.2","0","71","11.4","2023-04-21 08:00","2023-04-21","4/21/2023 8:00 AM"
"11.8","0","63","13","2023-04-21 09:00","2023-04-21","4/21/2023 9:00 AM"
"12.9","81","54","14.2","2023-04-21 10:00","2023-04-21","4/21/2023 10:00 AM"
"13.8","0","49","15","2023-04-21 11:00","2023-04-21","4/21/2023 11:00 AM"
"15.8","0","44","15.8","2023-04-21 12:00","2023-04-21","4/21/2023 12:00 PM"
"16.5","79","43","16.5","2023-04-21 13:00","2023-04-21","4/21/2023 1:00 PM"
"16.7","0","43","16.7","2023-04-21 14:00","2023-04-21","4/21/2023 2:00 PM"
"16.6","0","45","16.6","2023-04-21 15:00","2023-04-21","4/21/2023 3:00 PM"
"16","0","54","16","2023-04-21 16:00","2023-04-21","4/21/2023 4:00 PM"
"12.9","0","63","13.7","2023-04-21 17:00","2023-04-21","4/21/2023 5:00 PM"
"11.5","0","66","12.4","2023-04-21 18:00","2023-04-21","4/21/2023 6:00 PM"
"11.2","0","64","12","2023-04-21 19:00","2023-04-21","4/21/2023 7:00 PM"
"10.3","0","64","11.1","2023-04-21 20:00","2023-04-21","4/21/2023 8:00 PM"
"10.3","0","64","10.9","2023-04-21 21:00","2023-04-21","4/21/2023 9:00 PM"
"10.5","0","63","10.7","2023-04-21 22:00","2023-04-21","4/21/2023 10:00 PM"
"10.4","0","63","10.5","2023-04-21 23:00","2023-04-21","4/21/2023 11:00 PM"
"10.1","0","63","10.1","2023-04-22 00:00","2023-04-22","4/22/2023 12:00 AM"
"9.9","0","63","9.9","2023-04-22 01:00","2023-04-22","4/22/2023 1:00 AM"
"9.6","0","65","9.6","2023-04-22 02:00","2023-04-22","4/22/2023 2:00 AM"
"9.4","0","66","9.4","2023-04-22 03:00","2023-04-22","4/22/2023 3:00 AM"
"9","0","69","8.7","2023-04-22 04:00","2023-04-22","4/22/2023 4:00 AM"
"8.9","0","73","8.6","2023-04-22 05:00","2023-04-22","4/22/2023 5:00 AM"
"9.5","0","74","9.5","2023-04-22 06:00","2023-04-22","4/22/2023 6:00 AM"
"10.7","0","69","10.7","2023-04-22 07:00","2023-04-22","4/22/2023 7:00 AM"
"11.6","0","66","11.6","2023-04-22 08:00","2023-04-22","4/22/2023 8:00 AM"
