"feelsLike","rain","humidity","temperature","time","datetime","datetimeWithTime"
"4.5","0","52.73","6.9","12:00 AM","5/1/2023","5/1/2023 12:00 AM"
"3.9","0","56.49","5.9","1:00 AM","5/1/2023","5/1/2023 1:00 AM"
"-0.1","0","74.99","2.9","2:00 AM","5/1/2023","5/1/2023 2:00 AM"
"-2.3","0","80.51","1.9","3:00 AM","5/1/2023","5/1/2023 3:00 AM"
"-0.8","0","80.51","1.9","4:00 AM","5/1/2023","5/1/2023 4:00 AM"
"-0.7","0","86.49","0.9","5:00 AM","5/1/2023","5/1/2023 5:00 AM"
"-0.7","0","86.49","0.9","6:00 AM","5/1/2023","5/1/2023 6:00 AM"
"3.9","0","80.8","3.9","7:00 AM","5/1/2023","5/1/2023 7:00 AM"
"6.2","0","70.49","6.9","8:00 AM","5/1/2023","5/1/2023 8:00 AM"
"8.1","0","49.82","9.9","9:00 AM","5/1/2023","5/1/2023 9:00 AM"
"11.9","0","43.62","11.9","10:00 AM","5/1/2023","5/1/2023 10:00 AM"
"11.9","0","40.56","11.9","11:00 AM","5/1/2023","5/1/2023 11:00 AM"
"13.9","0","38.28","13.9","12:00 PM","5/1/2023","5/1/2023 12:00 PM"
"13.9","0","41.14","13.9","1:00 PM","5/1/2023","5/1/2023 1:00 PM"
"14.9","0","41.43","14.9","2:00 PM","5/1/2023","5/1/2023 2:00 PM"
"14.9","0","35.88","14.9","3:00 PM","5/1/2023","5/1/2023 3:00 PM"
"15.9","0","36.17","15.9","4:00 PM","5/1/2023","5/1/2023 4:00 PM"
"15.9","0","38.86","15.9","5:00 PM","5/1/2023","5/1/2023 5:00 PM"
"15.9","0","38.86","15.9","6:00 PM","5/1/2023","5/1/2023 6:00 PM"
"14.9","0","41.43","14.9","7:00 PM","5/1/2023","5/1/2023 7:00 PM"
"11.4","0","63.88","11.4","8:00 PM","5/1/2023","5/1/2023 8:00 PM"
"10.1","0","66.3","10.1","9:00 PM","5/1/2023","5/1/2023 9:00 PM"
"8.8","0","64.87","9.8","10:00 PM","5/1/2023","5/1/2023 10:00 PM"
"7.8","0","70.84","8.7","11:00 PM","5/1/2023","5/1/2023 11:00 PM"
"6.8","0","72.7","7.8","12:00 AM","5/2/2023","5/2/2023 12:00 AM"
"6.4","0","68.65","7.7","1:00 AM","5/2/2023","5/2/2023 1:00 AM"
"6.2","0","64.33","7.4","2:00 AM","5/2/2023","5/2/2023 2:00 AM"
"6.1","0","62.45","7.2","3:00 AM","5/2/2023","5/2/2023 3:00 AM"
"5.5","0","66.5","6.7","4:00 AM","5/2/2023","5/2/2023 4:00 AM"
"4.8","0","71.31","5.9","5:00 AM","5/2/2023","5/2/2023 5:00 AM"
"4.7","0","76.07","6.1","6:00 AM","5/2/2023","5/2/2023 6:00 AM"
"8.2","0","72.92","9.1","7:00 AM","5/2/2023","5/2/2023 7:00 AM"
"13.7","0","61.36","13.7","8:00 AM","5/2/2023","5/2/2023 8:00 AM"
"15.6","52.4","62.22","15.6","9:00 AM","5/2/2023","5/2/2023 9:00 AM"
"16.6","52.4","66.34","16.6","10:00 AM","5/2/2023","5/2/2023 10:00 AM"
"19.4","52.4","57.15","19.4","11:00 AM","5/2/2023","5/2/2023 11:00 AM"
"20.2","52.4","49.17","20.2","12:00 PM","5/2/2023","5/2/2023 12:00 PM"
"20.6","52.4","43.63","20.6","1:00 PM","5/2/2023","5/2/2023 1:00 PM"
"20.2","52.4","47.56","20.2","2:00 PM","5/2/2023","5/2/2023 2:00 PM"
"19.3","100","59.45","19.3","3:00 PM","5/2/2023","5/2/2023 3:00 PM"
"18.3","100","64.55","18.3","4:00 PM","5/2/2023","5/2/2023 4:00 PM"
"17.2","100","71.95","17.2","5:00 PM","5/2/2023","5/2/2023 5:00 PM"
"16.1","100","74.17","16.1","6:00 PM","5/2/2023","5/2/2023 6:00 PM"
"13.9","100","87.74","13.9","7:00 PM","5/2/2023","5/2/2023 7:00 PM"
"13.1","100","91.22","13.1","8:00 PM","5/2/2023","5/2/2023 8:00 PM"
"12.7","85.7","93.63","12.7","9:00 PM","5/2/2023","5/2/2023 9:00 PM"
"12.2","85.7","95.49","12.2","10:00 PM","5/2/2023","5/2/2023 10:00 PM"
"11.9","85.7","94.85","11.9","11:00 PM","5/2/2023","5/2/2023 11:00 PM"
"11.7","85.7","94.84","11.7","12:00 AM","5/3/2023","5/3/2023 12:00 AM"
"11.3","85.7","96.1","11.3","1:00 AM","5/3/2023","5/3/2023 1:00 AM"
"11.1","85.7","97.38","11.1","2:00 AM","5/3/2023","5/3/2023 2:00 AM"
"10.7","71.4","92.91","10.7","3:00 AM","5/3/2023","5/3/2023 3:00 AM"
"10.3","71.4","91.04","10.3","4:00 AM","5/3/2023","5/3/2023 4:00 AM"
"10.2","71.4","94.78","10.2","5:00 AM","5/3/2023","5/3/2023 5:00 AM"
"8.4","71.4","94.77","9.9","6:00 AM","5/3/2023","5/3/2023 6:00 AM"
"7.7","71.4","91.61","9.7","7:00 AM","5/3/2023","5/3/2023 7:00 AM"
"7.4","71.4","89.14","9.4","8:00 AM","5/3/2023","5/3/2023 8:00 AM"
"7.7","61.9","88.54","9.6","9:00 AM","5/3/2023","5/3/2023 9:00 AM"
